21 15

7500

10 10 2

3

1 1 1 1000 3500

2 19 1  7000 4000

3 10 4  9000 5000

2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	1	1	1	1	1	1	1	1	1	1	1	1	2
2	1	2	1	2	2	2	2	1	2	2	1	2	1	2
2	1	2	1	1	3	1	1	1	1	1	1	1	1	2
2	1	1	1	2	2	1	2	2	2	1	2	2	1	2
2	2	1	2	1	1	1	2	2	1	1	1	2	1	2
2	2	1	2	1	2	1	1	1	1	2	1	1	1	2
2	2	1	1	1	1	1	2	1	2	2	2	2	1	2
2	2	1	2	2	2	1	1	1	1	1	1	1	1	2
2	2	1	2	2	2	2	2	2	2	1	2	1	2	2
2	2	3	1	1	1	3	1	1	1	1	1	1	2	2
2	2	1	2	2	2	2	2	2	2	1	2	1	2	2
2	2	1	2	2	2	1	1	1	1	1	1	1	1	2
2	2	1	1	1	1	1	2	1	2	2	2	2	1	2
2	2	1	2	1	2	1	1	1	1	2	1	1	1	2
2	2	1	2	1	1	1	2	2	1	1	1	2	1	2
2	1	1	1	2	2	1	2	2	2	1	2	2	1	2
2	1	2	1	1	3	1	1	1	1	1	1	1	1	2
2	1	2	1	2	2	2	2	1	2	2	1	2	1	2
2	1	1	1	1	1	1	1	1	1	1	1	1	1	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2

