25 16

9000

9 7 2

4

1 1 1 1000 1000

2 23 1 1000 1000

3 1 14 1000 1000

4 23 14 25 16 1000 1000

2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	1	1	1	2	1	1	3	1	1	2	1	1	1	1	2
2	1	2	1	2	1	2	2	2	1	2	1	2	2	1	2
2	1	1	1	2	1	1	2	1	1	2	1	1	1	1	2
2	1	2	1	2	2	1	2	1	2	2	1	2	2	1	2
2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2
2	1	2	1	2	1	2	2	2	1	2	1	2	1	2	2
2	1	1	1	2	1	1	2	1	1	2	1	1	1	1	2
2	1	2	1	2	2	1	2	1	2	2	1	2	2	1	2
2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2
2	1	2	1	2	2	1	2	1	2	2	2	1	2	1	2
2	1	1	1	1	2	1	3	1	2	1	1	1	1	1	2
2	1	2	2	1	2	1	2	1	2	1	2	2	2	1	2
2	1	2	1	1	1	1	3	1	1	1	1	1	2	1	2
2	1	2	1	2	2	1	2	1	2	2	2	1	2	1	2
2	1	1	1	2	1	1	3	1	1	1	2	1	1	1	2
2	2	2	1	2	1	2	2	2	2	1	2	1	2	2	2
2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2
2	1	2	1	2	2	1	2	1	2	2	2	1	2	1	2
2	1	2	1	2	2	1	2	1	2	2	2	1	2	1	2
2	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2
2	1	2	2	1	1	1	2	1	1	1	2	2	2	1	2
2	1	2	2	1	2	1	2	1	2	1	2	2	2	1	2
2	1	1	1	1	2	1	3	1	2	1	1	1	1	1	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
